what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"fr_FR",1270974429808
processors,sysinfo,,,"4",1270974429808
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1270974429808
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1270974429808
java.specification.name,sysinfo,,,"Java Platform API Specification",1270974429808
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270974429808
java.specification.version,sysinfo,,,"1.6",1270974429808
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1270974429808
java.version,sysinfo,,,"1.6.0_15",1270974429808
java.vm.info,sysinfo,,,"mixed mode, sharing",1270974429808
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1270974429808
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1270974429808
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270974429808
java.vm.specification.version,sysinfo,,,"1.0",1270974429808
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1270974429808
java.vm.version,sysinfo,,,"14.1-b02",1270974429808
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1270974438087
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1270974438106
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1270974438134
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1270974445842
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1270974445864
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270974446943
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270974522336
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270974525998
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270974529296
